Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2004-01-02,0.17636950314044952,0.18255926049153778,0.17636950314044952,0.1801145396570777,436416000
2004-01-05,0.18210075795650482,0.18332403383275758,0.17743963455215106,0.1790443924599848,575292000
2004-01-06,0.18951387703418732,0.19203562499036053,0.18072532940473474,0.18156622178277493,1093344000
2004-01-07,0.19119466841220856,0.19211167108773353,0.18607504994916696,0.1873735347015416,673032000
2004-01-08,0.1918824315071106,0.19448028930023623,0.19004842608273043,0.19356328658804614,433752000
2004-01-09,0.19463340938091278,0.1970020333744659,0.18905529666496673,0.19058302860092732,766584000
2004-01-12,0.19684986770153046,0.19746058351124998,0.19348721403665223,0.19532121982152123,541980000
2004-01-13,0.18668577075004578,0.19776680111445455,0.18462251824046877,0.19585576975760902,865800000
2004-01-14,0.1853102445602417,0.19027762719300023,0.1835532656581964,0.1876027439524843,544872000
2004-01-15,0.18561655282974243,0.18714427114901375,0.18064915559633737,0.1839347686620611,609204000
2004-01-16,0.18844370543956757,0.19004845014075997,0.18576880754727088,0.18752670261129506,451728000
2004-01-20,0.1937163919210434,0.194021749694932,0.1885967744428555,0.190736137214989,487764000
2004-01-21,0.1847756952047348,0.1928755703436222,0.18447033731945878,0.1921117042093447,494460000
2004-01-22,0.18049602210521698,0.18874903254973305,0.17828054833386428,0.18576877725983815,605724000
2004-01-23,0.17644649744033813,0.18317087229003207,0.17606411361193833,0.17957897308205084,482472000
2004-01-26,0.18340013921260834,0.18416399143854928,0.17621726920139175,0.17759276618033476,393684000
2004-01-27,0.1729307472705841,0.18263627988232467,0.17155525024223522,0.17973213550531325,934104000
2004-01-28,0.17247223854064941,0.17789814339218646,0.17155524963458182,0.17514713568085738,615204000
2004-01-29,0.16742873191833496,0.17384773574936885,0.16162135914830836,0.17300775932832732,929700000
2004-01-30,0.17002755403518677,0.17384778627324382,0.16605326959575387,0.1670472984622864,466464000
2004-02-02,0.17277853190898895,0.176140255339985,0.16964514019980506,0.17140303483461583,560844000
2004-02-03,0.1721668839454651,0.17530027559699066,0.16987438430890275,0.17232002060370935,418032000
2004-02-04,0.16750577092170715,0.17109674145349268,0.16727652369527557,0.1697212444305278,436800000
2004-02-05,0.17002755403518677,0.1719376701542153,0.16735266998937062,0.16842280944324245,331980000
2004-02-06,0.17392484843730927,0.17636957020132416,0.1713260607755946,0.17224306373158005,471132000
